номер аудиофайла	порядковый номер	правильный ответ	неправильный ответ1	неправильный ответ2	неправильный ответ3	!	?	.		контрольная сумма
699	743	Вы копаете.	Вы копаете 	Вы копаете?	Вы копаете!	3	4	2	1	=SUM(G744:J744)
151	744	Они копают!	Они копают.	Они копают?	Они копают 	1	3	2	4	=SUM(G745:J745)
441	745	Я сажаю?	Я сажаю!	Я сажаю 	Я сажаю.	2	1	4	3	=SUM(G746:J746)
700	746	Ты сажаешь.	Ты сажаешь 	Ты сажаешь!	Ты сажаешь?	3	4	1	2	=SUM(G747:J747)
152	747	Он сажает!	Он сажает.	Он сажает?	Он сажает 	1	3	2	4	=SUM(G748:J748)
442	748	Она сажает?	Она сажает!	Она сажает 	Она сажает.	2	1	4	3	=SUM(G749:J749)
942	749	Мы сажаем 	Мы сажаем!	Мы сажаем.	Мы сажаем?	4	1	3	2	=SUM(G750:J750)
443	750	Вы сажаете?	Вы сажаете.	Вы сажаете!	Вы сажаете 	2	3	1	4	=SUM(G751:J751)
943	751	Они сажают 	Они сажают.	Они сажают?	Они сажают!	4	3	2	1	=SUM(G752:J752)
701	752	Я поливаю.	Я поливаю 	Я поливаю?	Я поливаю!	3	4	2	1	=SUM(G753:J753)
153	753	Ты поливаешь!	Ты поливаешь.	Ты поливаешь?	Ты поливаешь 	1	3	2	4	=SUM(G754:J754)
444	754	Он поливает?	Он поливает!	Он поливает 	Он поливает.	2	1	4	3	=SUM(G755:J755)
154	755	Она поливает!	Она поливает?	Она поливает.	Она поливает 	1	2	3	4	=SUM(G756:J756)
445	756	Мы поливаем?	Мы поливаем.	Мы поливаем 	Мы поливаем!	2	3	4	1	=SUM(G757:J757)
702	757	Вы поливаете.	Вы поливаете 	Вы поливаете!	Вы поливаете?	3	4	1	2	=SUM(G758:J758)
944	758	Они поливают 	Они поливают?	Они поливают.	Они поливают!	4	2	3	1	=SUM(G759:J759)
703	759	Я собираю.	Я собираю 	Я собираю!	Я собираю?	3	4	1	2	=SUM(G760:J760)
155	760	Ты собираешь!	Ты собираешь.	Ты собираешь?	Ты собираешь 	1	3	2	4	=SUM(G761:J761)
446	761	Он собирает?	Он собирает!	Он собирает 	Он собирает.	2	1	4	3	=SUM(G762:J762)
945	762	Она собирает 	Она собирает!	Она собирает.	Она собирает?	4	1	3	2	=SUM(G763:J763)
447	763	Мы собираем?	Мы собираем.	Мы собираем!	Мы собираем 	2	3	1	4	=SUM(G764:J764)
946	764	Вы собираете 	Вы собираете.	Вы собираете?	Вы собираете!	4	3	2	1	=SUM(G765:J765)
704	765	Они собирают.	Они собирают 	Они собирают?	Они собирают!	3	4	2	1	=SUM(G766:J766)
448	766	Я продаю?	Я продаю.	Я продаю 	Я продаю!	2	3	4	1	=SUM(G767:J767)
705	767	Ты продаёшь.	Ты продаёшь 	Ты продаёшь!	Ты продаёшь?	3	4	1	2	=SUM(G768:J768)
947	768	Он продаёт 	Он продаёт?	Он продаёт.	Он продаёт!	4	2	3	1	=SUM(G769:J769)
706	769	Она продаёт.	Она продаёт 	Она продаёт!	Она продаёт?	3	4	1	2	=SUM(G770:J770)
156	770	Мы продаём!	Мы продаём.	Мы продаём?	Мы продаём 	1	3	2	4	=SUM(G771:J771)
449	771	Вы продаёте?	Вы продаёте!	Вы продаёте 	Вы продаёте.	2	1	4	3	=SUM(G772:J772)
948	772	Они продают 	Они продают!	Они продают.	Они продают?	4	1	3	2	=SUM(G773:J773)
450	773	Я покупаю?	Я покупаю.	Я покупаю!	Я покупаю 	2	3	1	4	=SUM(G774:J774)
949	774	Ты покупаешь 	Ты покупаешь.	Ты покупаешь?	Ты покупаешь!	4	3	2	1	=SUM(G775:J775)
707	775	Он покупает.	Он покупает 	Он покупает?	Он покупает!	3	4	2	1	=SUM(G776:J776)
157	776	Она покупает!	Она покупает.	Она покупает?	Она покупает 	1	3	2	4	=SUM(G777:J777)
451	777	Мы покупаем?	Мы покупаем!	Мы покупаем 	Мы покупаем.	2	1	4	3	=SUM(G778:J778)
158	778	Вы покупаете!	Вы покупаете?	Вы покупаете.	Вы покупаете 	1	2	3	4	=SUM(G779:J779)
452	779	Они покупают?	Они покупают.	Они покупают 	Они покупают!	2	3	4	1	=SUM(G780:J780)
708	780	Я плачу.	Я плачу 	Я плачу!	Я плачу?	3	4	1	2	=SUM(G781:J781)
950	781	Ты платишь 	Ты платишь?	Ты платишь.	Ты платишь!	4	2	3	1	=SUM(G782:J782)
709	782	Он платит.	Он платит 	Он платит!	Он платит?	3	4	1	2	=SUM(G783:J783)
159	783	Она платит!	Она платит.	Она платит?	Она платит 	1	3	2	4	=SUM(G784:J784)
453	784	Мы платим?	Мы платим!	Мы платим 	Мы платим.	2	1	4	3	=SUM(G785:J785)
951	785	Вы платите 	Вы платите!	Вы платите.	Вы платите?	4	1	3	2	=SUM(G786:J786)
454	786	Они платят?	Они платят.	Они платят!	Они платят 	2	3	1	4	=SUM(G787:J787)
952	787	Я меняю 	Я меняю.	Я меняю?	Я меняю!	4	3	2	1	=SUM(G788:J788)
710	788	Ты меняешь.	Ты меняешь 	Ты меняешь?	Ты меняешь!	3	4	2	1	=SUM(G789:J789)
160	789	Он меняет!	Он меняет.	Он меняет?	Он меняет 	1	3	2	4	=SUM(G790:J790)
455	790	Она меняет?	Она меняет!	Она меняет 	Она меняет.	2	1	4	3	=SUM(G791:J791)
711	791	Мы меняем.	Мы меняем 	Мы меняем!	Мы меняем?	3	4	1	2	=SUM(G792:J792)
161	792	Вы меняете!	Вы меняете.	Вы меняете?	Вы меняете 	1	3	2	4	=SUM(G793:J793)
456	793	Они меняют?	Они меняют!	Они меняют 	Они меняют.	2	1	4	3	=SUM(G794:J794)
953	794	Я беру 	Я беру!	Я беру.	Я беру?	4	1	3	2	=SUM(G795:J795)
457	795	Ты берёшь?	Ты берёшь.	Ты берёшь!	Ты берёшь 	2	3	1	4	=SUM(G796:J796)
954	796	Он берёт 	Он берёт.	Он берёт?	Он берёт!	4	3	2	1	=SUM(G797:J797)
712	797	Она берёт.	Она берёт 	Она берёт?	Она берёт!	3	4	2	1	=SUM(G798:J798)
162	798	Мы берём!	Мы берём.	Мы берём?	Мы берём 	1	3	2	4	=SUM(G799:J799)
458	799	Вы берёте?	Вы берёте!	Вы берёте 	Вы берёте.	2	1	4	3	=SUM(G800:J800)
163	800	Они берут!	Они берут?	Они берут.	Они берут 	1	2	3	4	=SUM(G801:J801)
459	801	Я даю?	Я даю.	Я даю 	Я даю!	2	3	4	1	=SUM(G802:J802)
713	802	Ты даёшь.	Ты даёшь 	Ты даёшь!	Ты даёшь?	3	4	1	2	=SUM(G803:J803)
955	803	Он даёт 	Он даёт?	Он даёт.	Он даёт!	4	2	3	1	=SUM(G804:J804)
460	804	Она даёт?	Она даёт.	Она даёт 	Она даёт!	2	3	4	1	=SUM(G805:J805)
714	805	Мы даём.	Мы даём 	Мы даём!	Мы даём?	3	4	1	2	=SUM(G806:J806)
956	806	Вы даёте 	Вы даёте?	Вы даёте.	Вы даёте!	4	2	3	1	=SUM(G807:J807)
715	807	Они дают.	Они дают 	Они дают!	Они дают?	3	4	1	2	=SUM(G808:J808)
164	808	Я получаю!	Я получаю.	Я получаю?	Я получаю 	1	3	2	4	=SUM(G809:J809)
461	809	Ты получаешь?	Ты получаешь!	Ты получаешь 	Ты получаешь.	2	1	4	3	=SUM(G810:J810)
957	810	Он получает 	Он получает!	Он получает.	Он получает?	4	1	3	2	=SUM(G811:J811)
462	811	Она получает?	Она получает.	Она получает!	Она получает 	2	3	1	4	=SUM(G812:J812)
958	812	Мы получаем 	Мы получаем.	Мы получаем?	Мы получаем!	4	3	2	1	=SUM(G813:J813)
716	813	Вы получаете.	Вы получаете 	Вы получаете?	Вы получаете!	3	4	2	1	=SUM(G814:J814)
165	814	Они получают!	Они получают.	Они получают?	Они получают 	1	3	2	4	=SUM(G815:J815)
463	815	Я отправляю?	Я отправляю!	Я отправляю 	Я отправляю.	2	1	4	3	=SUM(G816:J816)
717	816	Ты отправляешь.	Ты отправляешь 	Ты отправляешь!	Ты отправляешь?	3	4	1	2	=SUM(G817:J817)
166	817	Он отправляет!	Он отправляет.	Он отправляет?	Он отправляет 	1	3	2	4	=SUM(G818:J818)
464	818	Она отправляет?	Она отправляет!	Она отправляет 	Она отправляет.	2	1	4	3	=SUM(G819:J819)
959	819	Мы отправляем 	Мы отправляем!	Мы отправляем.	Мы отправляем?	4	1	3	2	=SUM(G820:J820)
465	820	Вы отправляете?	Вы отправляете.	Вы отправляете!	Вы отправляете 	2	3	1	4	=SUM(G821:J821)
960	821	Они отправляют 	Они отправляют.	Они отправляют?	Они отправляют!	4	3	2	1	=SUM(G822:J822)
718	822	Я приношу.	Я приношу 	Я приношу?	Я приношу!	3	4	2	1	=SUM(G823:J823)
167	823	Ты приносишь!	Ты приносишь.	Ты приносишь?	Ты приносишь 	1	3	2	4	=SUM(G824:J824)
466	824	Он приносит?	Он приносит!	Он приносит 	Он приносит.	2	1	4	3	=SUM(G825:J825)
168	825	Она приносит!	Она приносит?	Она приносит.	Она приносит 	1	2	3	4	=SUM(G826:J826)
467	826	Мы приносим?	Мы приносим.	Мы приносим 	Мы приносим!	2	3	4	1	=SUM(G827:J827)
719	827	Вы приносите.	Вы приносите 	Вы приносите!	Вы приносите?	3	4	1	2	=SUM(G828:J828)
961	828	Они приносят 	Они приносят?	Они приносят.	Они приносят!	4	2	3	1	=SUM(G829:J829)
720	829	Я уношу.	Я уношу 	Я уношу!	Я уношу?	3	4	1	2	=SUM(G830:J830)
169	830	Ты уносишь!	Ты уносишь.	Ты уносишь?	Ты уносишь 	1	3	2	4	=SUM(G831:J831)
468	831	Он уносит?	Он уносит!	Он уносит 	Он уносит.	2	1	4	3	=SUM(G832:J832)
962	832	Она уносит 	Она уносит!	Она уносит.	Она уносит?	4	1	3	2	=SUM(G833:J833)
469	833	Мы уносим?	Мы уносим.	Мы уносим!	Мы уносим 	2	3	1	4	=SUM(G834:J834)
963	834	Вы уносите 	Вы уносите.	Вы уносите?	Вы уносите!	4	3	2	1	=SUM(G835:J835)
721	835	Они уносят.	Они уносят 	Они уносят?	Они уносят!	3	4	2	1	=SUM(G836:J836)
470	836	Я кладу?	Я кладу.	Я кладу 	Я кладу!	2	3	4	1	=SUM(G837:J837)
722	837	Ты кладёшь.	Ты кладёшь 	Ты кладёшь!	Ты кладёшь?	3	4	1	2	=SUM(G838:J838)
964	838	Он кладёт 	Он кладёт?	Он кладёт.	Он кладёт!	4	2	3	1	=SUM(G839:J839)
723	839	Она кладёт.	Она кладёт 	Она кладёт!	Она кладёт?	3	4	1	2	=SUM(G840:J840)
170	840	Мы кладём!	Мы кладём.	Мы кладём?	Мы кладём 	1	3	2	4	=SUM(G841:J841)
471	841	Вы кладёте?	Вы кладёте!	Вы кладёте 	Вы кладёте.	2	1	4	3	=SUM(G842:J842)
965	842	Они кладут 	Они кладут!	Они кладут.	Они кладут?	4	1	3	2	=SUM(G843:J843)
472	843	Я ставлю?	Я ставлю.	Я ставлю!	Я ставлю 	2	3	1	4	=SUM(G844:J844)
966	844	Ты ставишь 	Ты ставишь.	Ты ставишь?	Ты ставишь!	4	3	2	1	=SUM(G845:J845)
724	845	Он ставит.	Он ставит 	Он ставит?	Он ставит!	3	4	2	1	=SUM(G846:J846)
171	846	Она ставит!	Она ставит.	Она ставит?	Она ставит 	1	3	2	4	=SUM(G847:J847)
473	847	Мы ставим?	Мы ставим!	Мы ставим 	Мы ставим.	2	1	4	3	=SUM(G848:J848)
172	848	Вы ставите!	Вы ставите?	Вы ставите.	Вы ставите 	1	2	3	4	=SUM(G849:J849)
474	849	Они ставят?	Они ставят.	Они ставят 	Они ставят!	2	3	4	1	=SUM(G850:J850)
725	850	Я вешаю.	Я вешаю 	Я вешаю!	Я вешаю?	3	4	1	2	=SUM(G851:J851)
967	851	Ты вешаешь 	Ты вешаешь?	Ты вешаешь.	Ты вешаешь!	4	2	3	1	=SUM(G852:J852)
726	852	Он вешает.	Он вешает 	Он вешает!	Он вешает?	3	4	1	2	=SUM(G853:J853)
173	853	Она вешает!	Она вешает.	Она вешает?	Она вешает 	1	3	2	4	=SUM(G854:J854)
475	854	Мы вешаем?	Мы вешаем!	Мы вешаем 	Мы вешаем.	2	1	4	3	=SUM(G855:J855)
968	855	Вы вешаете 	Вы вешаете!	Вы вешаете.	Вы вешаете?	4	1	3	2	=SUM(G856:J856)
476	856	Они вешают?	Они вешают.	Они вешают!	Они вешают 	2	3	1	4	=SUM(G857:J857)
969	857	Я открываю 	Я открываю.	Я открываю?	Я открываю!	4	3	2	1	=SUM(G858:J858)
727	858	Ты открываешь.	Ты открываешь 	Ты открываешь?	Ты открываешь!	3	4	2	1	=SUM(G859:J859)
174	859	Он открывает!	Он открывает.	Он открывает?	Он открывает 	1	3	2	4	=SUM(G860:J860)
477	860	Она открывает?	Она открывает!	Она открывает 	Она открывает.	2	1	4	3	=SUM(G861:J861)
728	861	Мы открываем.	Мы открываем 	Мы открываем!	Мы открываем?	3	4	1	2	=SUM(G862:J862)
175	862	Вы открываете!	Вы открываете.	Вы открываете?	Вы открываете 	1	3	2	4	=SUM(G863:J863)
478	863	Они открывают?	Они открывают!	Они открывают 	Они открывают.	2	1	4	3	=SUM(G864:J864)
970	864	Я закрываю 	Я закрываю!	Я закрываю.	Я закрываю?	4	1	3	2	=SUM(G865:J865)
479	865	Ты закрываешь?	Ты закрываешь.	Ты закрываешь!	Ты закрываешь 	2	3	1	4	=SUM(G866:J866)
971	866	Он закрывает 	Он закрывает?	Он закрывает.	Он закрывает!	4	2	3	1	=SUM(G867:J867)
729	867	Она закрывает.	Она закрывает 	Она закрывает!	Она закрывает?	3	4	1	2	=SUM(G868:J868)
176	868	Мы закрываем!	Мы закрываем.	Мы закрываем?	Мы закрываем 	1	3	2	4	=SUM(G869:J869)
480	869	Вы закрываете?	Вы закрываете!	Вы закрываете 	Вы закрываете.	2	1	4	3	=SUM(G870:J870)
972	870	Они закрывают 	Они закрывают!	Они закрывают.	Они закрывают?	4	1	3	2	=SUM(G871:J871)
481	871	Я ломаю?	Я ломаю.	Я ломаю!	Я ломаю 	2	3	1	4	=SUM(G872:J872)
973	872	Ты ломаешь 	Ты ломаешь.	Ты ломаешь?	Ты ломаешь!	4	3	2	1	=SUM(G873:J873)
730	873	Он ломает.	Он ломает 	Он ломает?	Он ломает!	3	4	2	1	=SUM(G874:J874)
177	874	Она ломает!	Она ломает.	Она ломает?	Она ломает 	1	3	2	4	=SUM(G875:J875)
482	875	Мы ломаем?	Мы ломаем!	Мы ломаем 	Мы ломаем.	2	1	4	3	=SUM(G876:J876)
178	876	Вы ломаете!	Вы ломаете?	Вы ломаете.	Вы ломаете 	1	2	3	4	=SUM(G877:J877)
483	877	Они ломают?	Они ломают.	Они ломают 	Они ломают!	2	3	4	1	=SUM(G878:J878)
731	878	Я чиню.	Я чиню 	Я чиню!	Я чиню?	3	4	1	2	=SUM(G879:J879)
974	879	Ты чинишь 	Ты чинишь?	Ты чинишь.	Ты чинишь!	4	2	3	1	=SUM(G880:J880)
732	880	Он чинит.	Он чинит 	Он чинит!	Он чинит?	3	4	1	2	=SUM(G881:J881)
179	881	Она чинит!	Она чинит.	Она чинит?	Она чинит 	1	3	2	4	=SUM(G882:J882)
484	882	Мы чиним?	Мы чиним!	Мы чиним 	Мы чиним.	2	1	4	3	=SUM(G883:J883)
975	883	Вы чините 	Вы чините!	Вы чините.	Вы чините?	4	1	3	2	=SUM(G884:J884)
485	884	Они чинят?	Они чинят.	Они чинят!	Они чинят 	2	3	1	4	=SUM(G885:J885)
976	885	Я ищу 	Я ищу.	Я ищу?	Я ищу!	4	3	2	1	=SUM(G886:J886)
733	886	Ты ищешь.	Ты ищешь 	Ты ищешь?	Ты ищешь!	3	4	2	1	=SUM(G887:J887)
180	887	Он ищет!	Он ищет.	Он ищет?	Он ищет 	1	3	2	4	=SUM(G888:J888)
486	888	Она ищет?	Она ищет!	Она ищет 	Она ищет.	2	1	4	3	=SUM(G889:J889)
734	889	Мы ищем.	Мы ищем 	Мы ищем!	Мы ищем?	3	4	1	2	=SUM(G890:J890)
181	890	Вы ищете!	Вы ищете.	Вы ищете?	Вы ищете 	1	3	2	4	=SUM(G891:J891)
487	891	Они ищут?	Они ищут!	Они ищут 	Они ищут.	2	1	4	3	=SUM(G892:J892)
977	892	Я нахожу 	Я нахожу!	Я нахожу.	Я нахожу?	4	1	3	2	=SUM(G893:J893)
488	893	Ты находишь?	Ты находишь.	Ты находишь!	Ты находишь 	2	3	1	4	=SUM(G894:J894)
978	894	Он находит 	Он находит.	Он находит?	Он находит!	4	3	2	1	=SUM(G895:J895)
735	895	Она находит.	Она находит 	Она находит?	Она находит!	3	4	2	1	=SUM(G896:J896)
182	896	Мы находим!	Мы находим.	Мы находим?	Мы находим 	1	3	2	4	=SUM(G897:J897)
489	897	Вы находите?	Вы находите!	Вы находите 	Вы находите.	2	1	4	3	=SUM(G898:J898)
183	898	Они находят!	Они находят?	Они находят.	Они находят 	1	2	3	4	=SUM(G899:J899)
490	899	Я теряю?	Я теряю.	Я теряю 	Я теряю!	2	3	4	1	=SUM(G900:J900)
736	900	Ты теряешь.	Ты теряешь 	Ты теряешь!	Ты теряешь?	3	4	1	2	=SUM(G901:J901)
979	901	Он теряет 	Он теряет?	Он теряет.	Он теряет!	4	2	3	1	=SUM(G902:J902)
737	902	Она теряет.	Она теряет 	Она теряет!	Она теряет?	3	4	1	2	=SUM(G903:J903)
184	903	Мы теряем!	Мы теряем.	Мы теряем?	Мы теряем 	1	3	2	4	=SUM(G904:J904)
491	904	Вы теряете?	Вы теряете!	Вы теряете 	Вы теряете.	2	1	4	3	=SUM(G905:J905)
980	905	Они теряют 	Они теряют!	Они теряют.	Они теряют?	4	1	3	2	=SUM(G906:J906)
492	906	Я помню?	Я помню.	Я помню!	Я помню 	2	3	1	4	=SUM(G907:J907)
981	907	Ты помнишь 	Ты помнишь.	Ты помнишь?	Ты помнишь!	4	3	2	1	=SUM(G908:J908)
738	908	Он помнит.	Он помнит 	Он помнит?	Он помнит!	3	4	2	1	=SUM(G909:J909)
493	909	Она помнит?	Она помнит.	Она помнит 	Она помнит!	2	3	4	1	=SUM(G910:J910)
739	910	Мы помним.	Мы помним 	Мы помним!	Мы помним?	3	4	1	2	=SUM(G911:J911)
982	911	Вы помните 	Вы помните?	Вы помните.	Вы помните!	4	2	3	1	=SUM(G912:J912)
740	912	Они помнят.	Они помнят 	Они помнят!	Они помнят?	3	4	1	2	=SUM(G913:J913)
185	913	Я забываю!	Я забываю.	Я забываю?	Я забываю 	1	3	2	4	=SUM(G914:J914)
494	914	Ты забываешь?	Ты забываешь!	Ты забываешь 	Ты забываешь.	2	1	4	3	=SUM(G915:J915)
983	915	Он забывает 	Он забывает!	Он забывает.	Он забывает?	4	1	3	2	=SUM(G916:J916)
495	916	Она забывает?	Она забывает.	Она забывает!	Она забывает 	2	3	1	4	=SUM(G917:J917)
984	917	Мы забываем 	Мы забываем.	Мы забываем?	Мы забываем!	4	3	2	1	=SUM(G918:J918)
741	918	Вы забываете.	Вы забываете 	Вы забываете?	Вы забываете!	3	4	2	1	=SUM(G919:J919)
186	919	Они забывают!	Они забывают.	Они забывают?	Они забывают 	1	3	2	4	=SUM(G920:J920)
496	920	Я учусь?	Я учусь!	Я учусь 	Я учусь.	2	1	4	3	=SUM(G921:J921)
187	921	Ты учишься!	Ты учишься?	Ты учишься.	Ты учишься 	1	2	3	4	=SUM(G922:J922)
497	922	Он учится?	Он учится.	Он учится 	Он учится!	2	3	4	1	=SUM(G923:J923)
742	923	Она учится.	Она учится 	Она учится!	Она учится?	3	4	1	2	=SUM(G924:J924)
985	924	Мы учимся 	Мы учимся?	Мы учимся.	Мы учимся!	4	2	3	1	=SUM(G925:J925)
743	925	Вы учитесь.	Вы учитесь 	Вы учитесь!	Вы учитесь?	3	4	1	2	=SUM(G926:J926)
744	926	Они учатся.	Они учатся.	Они учатся.	Они учатся!	3	3	3	1	=SUM(G927:J927)
188	927	Я понимаю!	Я понимаю.	Я понимаю?	Я понимаю 	1	3	2	4	=SUM(G928:J928)
498	928	Ты понимаешь?	Ты понимаешь!	Ты понимаешь 	Ты понимаешь.	2	1	4	3	=SUM(G929:J929)
745	929	Он понимает.	Он понимает 	Он понимает!	Он понимает?	3	4	1	2	=SUM(G930:J930)
189	930	Она понимает!	Она понимает.	Она понимает?	Она понимает 	1	3	2	4	=SUM(G931:J931)
499	931	Мы понимаем?	Мы понимаем!	Мы понимаем 	Мы понимаем.	2	1	4	3	=SUM(G932:J932)
986	932	Вы понимаете 	Вы понимаете!	Вы понимаете.	Вы понимаете?	4	1	3	2	=SUM(G933:J933)
500	933	Они понимают?	Они понимают.	Они понимают!	Они понимают 	2	3	1	4	=SUM(G934:J934)
987	934	Я объясняю 	Я объясняю?	Я объясняю.	Я объясняю!	4	2	3	1	=SUM(G935:J935)
746	935	Ты объясняешь.	Ты объясняешь 	Ты объясняешь!	Ты объясняешь?	3	4	1	2	=SUM(G936:J936)
190	936	Он объясняет!	Он объясняет.	Он объясняет?	Он объясняет 	1	3	2	4	=SUM(G937:J937)
501	937	Она объясняет?	Она объясняет!	Она объясняет 	Она объясняет.	2	1	4	3	=SUM(G938:J938)
988	938	Мы объясняем 	Мы объясняем!	Мы объясняем.	Мы объясняем?	4	1	3	2	=SUM(G939:J939)
502	939	Вы объясняете?	Вы объясняете.	Вы объясняете!	Вы объясняете 	2	3	1	4	=SUM(G940:J940)
989	940	Они объясняют 	Они объясняют.	Они объясняют?	Они объясняют!	4	3	2	1	=SUM(G941:J941)
747	941	Я показываю.	Я показываю 	Я показываю?	Я показываю!	3	4	2	1	=SUM(G942:J942)
191	942	Ты показываешь!	Ты показываешь.	Ты показываешь?	Ты показываешь 	1	3	2	4	=SUM(G943:J943)
503	943	Он показывает?	Он показывает!	Он показывает 	Он показывает.	2	1	4	3	=SUM(G944:J944)
192	944	Она показывает!	Она показывает?	Она показывает.	Она показывает 	1	2	3	4	=SUM(G945:J945)
504	945	Мы показываем?	Мы показываем.	Мы показываем 	Мы показываем!	2	3	4	1	=SUM(G946:J946)
748	946	Вы показываете.	Вы показываете 	Вы показываете!	Вы показываете?	3	4	1	2	=SUM(G947:J947)
990	947	Они показывают 	Они показывают?	Они показывают.	Они показывают!	4	2	3	1	=SUM(G948:J948)
749	948	Я спрашиваю.	Я спрашиваю 	Я спрашиваю!	Я спрашиваю?	3	4	1	2	=SUM(G949:J949)
193	949	Ты спрашиваешь!	Ты спрашиваешь.	Ты спрашиваешь?	Ты спрашиваешь 	1	3	2	4	=SUM(G950:J950)
505	950	Он спрашивает?	Он спрашивает!	Он спрашивает 	Он спрашивает.	2	1	4	3	=SUM(G951:J951)
991	951	Она спрашивает 	Она спрашивает!	Она спрашивает.	Она спрашивает?	4	1	3	2	=SUM(G952:J952)
506	952	Мы спрашиваем?	Мы спрашиваем.	Мы спрашиваем!	Мы спрашиваем 	2	3	1	4	=SUM(G953:J953)
992	953	Вы спрашиваете 	Вы спрашиваете.	Вы спрашиваете?	Вы спрашиваете!	4	3	2	1	=SUM(G954:J954)
750	954	Они спрашивают.	Они спрашивают 	Они спрашивают?	Они спрашивают!	3	4	2	1	=SUM(G955:J955)
194	955	Я отвечаю!	Я отвечаю.	Я отвечаю?	Я отвечаю 	1	3	2	4	=SUM(G956:J956)
507	956	Ты отвечаешь?	Ты отвечаешь!	Ты отвечаешь 	Ты отвечаешь.	2	1	4	3	=SUM(G957:J957)
751	957	Он отвечает.	Он отвечает 	Он отвечает!	Он отвечает?	3	4	1	2	=SUM(G958:J958)
195	958	Она отвечает!	Она отвечает.	Она отвечает?	Она отвечает 	1	3	2	4	=SUM(G959:J959)
508	959	Мы отвечаем?	Мы отвечаем!	Мы отвечаем 	Мы отвечаем.	2	1	4	3	=SUM(G960:J960)
993	960	Вы отвечаете 	Вы отвечаете!	Вы отвечаете.	Вы отвечаете?	4	1	3	2	=SUM(G961:J961)
509	961	Они отвечают?	Они отвечают.	Они отвечают!	Они отвечают 	2	3	1	4	=SUM(G962:J962)
196	962	Я слушаю!	Я слушаю.	Я слушаю?	Я слушаю 	1	3	2	4	=SUM(G963:J963)
510	963	Ты слушаешь?	Ты слушаешь!	Ты слушаешь 	Ты слушаешь.	2	1	4	3	=SUM(G964:J964)
752	964	Он слушает.	Он слушает 	Он слушает!	Он слушает?	3	4	1	2	=SUM(G965:J965)
197	965	Она слушает!	Она слушает.	Она слушает?	Она слушает 	1	3	2	4	=SUM(G966:J966)
511	966	Мы слушаем?	Мы слушаем!	Мы слушаем 	Мы слушаем.	2	1	4	3	=SUM(G967:J967)
994	967	Вы слушаете 	Вы слушаете!	Вы слушаете.	Вы слушаете?	4	1	3	2	=SUM(G968:J968)
512	968	Они слушают?	Они слушают.	Они слушают!	Они слушают 	2	3	1	4	=SUM(G969:J969)
995	969	Я слышу 	Я слышу?	Я слышу.	Я слышу!	4	2	3	1	=SUM(G970:J970)
753	970	Ты слышишь.	Ты слышишь 	Ты слышишь!	Ты слышишь?	3	4	1	2	=SUM(G971:J971)
198	971	Он слышит!	Он слышит.	Он слышит?	Он слышит 	1	3	2	4	=SUM(G972:J972)
513	972	Она слышит?	Она слышит!	Она слышит 	Она слышит.	2	1	4	3	=SUM(G973:J973)
996	973	Мы слышим 	Мы слышим!	Мы слышим.	Мы слышим?	4	1	3	2	=SUM(G974:J974)
514	974	Вы слышите?	Вы слышите.	Вы слышите!	Вы слышите 	2	3	1	4	=SUM(G975:J975)
997	975	Они слышат 	Они слышат.	Они слышат?	Они слышат!	4	3	2	1	=SUM(G976:J976)
754	976	Я чувствую.	Я чувствую 	Я чувствую?	Я чувствую!	3	4	2	1	=SUM(G977:J977)
199	977	Ты чувствуешь!	Ты чувствуешь.	Ты чувствуешь?	Ты чувствуешь 	1	3	2	4	=SUM(G978:J978)
515	978	Он чувствует?	Он чувствует!	Он чувствует 	Он чувствует.	2	1	4	3	=SUM(G979:J979)
200	979	Она чувствует!	Она чувствует?	Она чувствует.	Она чувствует 	1	2	3	4	=SUM(G980:J980)
516	980	Мы чувствуем?	Мы чувствуем.	Мы чувствуем 	Мы чувствуем!	2	3	4	1	=SUM(G981:J981)
755	981	Вы чувствуете.	Вы чувствуете 	Вы чувствуете!	Вы чувствуете?	3	4	1	2	=SUM(G982:J982)
998	982	Они чувствуют 	Они чувствуют?	Они чувствуют.	Они чувствуют!	4	2	3	1	=SUM(G983:J983)
756	983	Я трогаю.	Я трогаю 	Я трогаю!	Я трогаю?	3	4	1	2	=SUM(G984:J984)
201	984	Ты трогаешь!	Ты трогаешь.	Ты трогаешь?	Ты трогаешь 	1	3	2	4	=SUM(G985:J985)
517	985	Он трогает?	Он трогает!	Он трогает 	Он трогает.	2	1	4	3	=SUM(G986:J986)
999	986	Она трогает 	Она трогает!	Она трогает.	Она трогает?	4	1	3	2	=SUM(G987:J987)
518	987	Мы трогаем?	Мы трогаем.	Мы трогаем!	Мы трогаем 	2	3	1	4	=SUM(G988:J988)
1000	988	Вы трогаете 	Вы трогаете.	Вы трогаете?	Вы трогаете!	4	3	2	1	=SUM(G989:J989)
757	989	Они трогают.	Они трогают 	Они трогают?	Они трогают!	3	4	2	1	=SUM(G990:J990)
202	990	Я нюхаю!	Я нюхаю.	Я нюхаю?	Я нюхаю 	1	3	2	4	=SUM(G991:J991)
519	991	Ты нюхаешь?	Ты нюхаешь!	Ты нюхаешь 	Ты нюхаешь.	2	1	4	3	=SUM(G992:J992)
758	992	Он нюхает.	Он нюхает 	Он нюхает!	Он нюхает?	3	4	1	2	=SUM(G993:J993)
